bstopid,bstopnm,gpsx,gpsy,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
205940302,학생체육관,128.867931371359,35.244693159861,POINT (370021.00136788643 295841.4981510092),,,,,
205960201,법원등기소입구,128.866072756907,35.243846833927,POINT (369853.5739094949 295744.40305475605),,,,,
205970101,연지공원,128.866437577687,35.243742932967,POINT (369887.001367693 295733.49815092236),,,,,
205970201,연지공원,128.865663323518,35.243511554495,POINT (369817.001367738 295706.49815085216),,,,,
205980101,법원등기소입구,128.865903512801,35.243277773486,POINT (369839.3542311349 295680.9676939212),,,,,
206000201,내동사거리,128.864116551662,35.242240336253,POINT (369678.8430948891 295562.792044447),,,,,
206010101,내동사거리,128.864437307705,35.242095693193,POINT (369708.3444613983 295547.29019072076),,,,,
206050201,서김해새마을금고,128.861683972957,35.240302026462,POINT (369461.4284513423 295343.5518177467),,,,,
206060101,서김해새마을금고,128.861904512171,35.24006384051,POINT (369482.0013670515 295317.4981511611),,,,,
206120201,내외문화의집,128.858397255277,35.237691173458,POINT (369167.6404905411 295048.23271176266),,,,,
206130101,내외문화의집,128.858501432983,35.237355427553,POINT (369177.822275094 295011.1543582509),,,,,
206130201,김해생명과학고,128.857078411208,35.236639620811,POINT (369049.75639652426 294929.3006847451),,,,,
206140101,김해생명과학고,128.856759749279,35.235991575402,POINT (369022.0901697753 294856.84795515036),,,,,
206140201,외동축협,128.855186821879,35.233870476528,POINT (368883.286973086 294618.80407369486),,,,,
206170201,외동축협,128.855376790688,35.23402116715,POINT (368900.2699512389 294635.84859016567),,,,,
206190101,외동초등학교,128.858088708846,35.233049620159,POINT (369149.19048163225 294532.6589741696),,,,,
206200201,외동초등학교,128.858070076828,35.233272438132,POINT (369147.0314000742 294557.3521164549),,,,,
206220101,한국2차아파트,128.864446496942,35.23222308293,POINT (369729.7563051193 294451.79443376674),,,,,
206240201,대동아파트,128.865431371894,35.232328156195,POINT (369819.20593652176 294465.13820209564),,,,,
206260201,무접마을,128.866909871037,35.229761019455,POINT (369959.1732713162 294182.8069341299),,,,,
206260202,무접마을,128.867138808777,35.229768205623,POINT (369980.0027284285 294183.99630406173),,,,,
206270201,한국1차아파트,128.866962245285,35.230005697017,POINT (369963.43134739826 294210.0471605881),,,,,
